"gene","accession","chromosome","strand","start_1based","end_1based","width_nt","transcript_exon_rank_5to3","segment_location","segment_key","coordinate_status","calibrated_scan_rank","expected_direction","paired_accession"
"Ntrk2","NM_001025074","chr13","+",59128168,59133970,5803,"18","3prime_terminal_exon_segment","chr13:59128168:59133970:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Tecr","NM_134118","chr8","-",83573411,83573455,45,"4","internal_exon_segment","chr8:83573411:83573455:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",4,"higher","NM_027179"
"Armc8","NM_028768","chr9","-",99478391,99480777,2387,"22","3prime_terminal_exon_segment","chr9:99478391:99480777:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99483100,99483193,94,"21","internal_exon_segment","chr9:99483100:99483193:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99483966,99484038,73,"20","internal_exon_segment","chr9:99483966:99484038:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99487864,99487959,96,"19","internal_exon_segment","chr9:99487864:99487959:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99496151,99496246,96,"18","internal_exon_segment","chr9:99496151:99496246:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99497243,99497392,150,"17","internal_exon_segment","chr9:99497243:99497392:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99499293,99499385,93,"16","internal_exon_segment","chr9:99499293:99499385:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99502512,99502598,87,"15","internal_exon_segment","chr9:99502512:99502598:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99505265,99505346,82,"14","internal_exon_segment","chr9:99505265:99505346:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_028768","chr9","-",99505650,99505732,83,"13","internal_exon_segment","chr9:99505650:99505732:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"higher","NM_001166138"
"Armc8","NM_001166138","chr9","-",99518245,99520486,2242,"12","3prime_terminal_exon_segment","chr9:99518245:99520486:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",5,"lower","NM_028768"
"Bin1","NM_009668","chr18","+",32414945,32415037,93,"7","internal_exon_segment","chr18:32414945:32415037:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",6,"lower","NM_001083334"
"Bin1","NM_009668","chr18","+",32429196,32429303,108,"13","internal_exon_segment","chr18:32429196:32429303:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",6,"lower","NM_001083334"
"Bin1","NM_009668","chr18","+",32429700,32429723,24,"14","internal_exon_segment","chr18:32429700:32429723:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",6,"lower","NM_001083334"
"Bin1","NM_009668","chr18","+",32430750,32430857,108,"15","internal_exon_segment","chr18:32430750:32430857:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",6,"lower","NM_001083334"
